#target name         accession query name                    accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- ----------------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
JAAYCJ010000321.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2828     2780      -    no    1 0.73   0.0   56.2     3e-07 !   Phycisphaerae bacterium isolate AS06rmzACSIP_418 543678_AS06, whole genome shotgun sequence
QJWJ01000114.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    43935    43883      -    no    1 0.72   0.1   24.1   2.9e+02 !   Deltaproteobacteria bacterium isolate SZUA-265 scaffold_274, whole genome shotgun sequence
NZ_LT827010.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  8075050  8075019      -    no    1 0.81   0.0   24.1   2.9e+02 !   Actinoplanes sp. SE50/110 isolate ACP50 chromosome I, complete sequence
SHZC01000072.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     8456     8403      -    no    1 0.74   0.0   24.1   2.9e+02 !   Myxococcales bacterium isolate Baikal-deep-G135 BACOMB-C10362, whole genome shotgun sequence
JACQAG010000006.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    33302    33244      -    no    1 0.69   0.0   24.1   2.9e+02 !   Proteobacteria bacterium isolate NC_groundwater_910_Pr1_S-0.2um_66_28 Montesol18-Sp2_coassembly_scaffold_91522, whole genome shotgun sequence
CAIULK010000240.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    17577    17516      -    no    1 0.71   0.0   24.1   2.9e+02 !   uncultured Rhodospirillaceae bacterium isolate AM-2014_bin-0959 genome assembly, contig: bin-0959:240/269, whole genome shotgun sequence
PLTE01000076.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     3324     3368      +    no    1 0.67   0.0   24.1   2.9e+02 !   Hyphomicrobiales bacterium isolate bog_931 73.20120700_S1D.242_contig_229201, whole genome shotgun sequence
JAGA01000002.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1612396  1612460      +    no    1 0.72   0.1   24.1   2.9e+02 !   Bacterium JKG1 strain JKG1 K361DRAFT_scf7180000000008_quiver.2_C, whole genome shotgun sequence
NZ_LR590477.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1024068  1024002      -    no    1 0.60   0.0   24.1   2.9e+02 !   Neisseria lactamica strain NCTC10617 chromosome 1
NZ_LRQV01000035.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    12279    12231      -    no    1 0.76   0.4   24.1   2.9e+02 !   Micromonospora rosaria strain DSM 803 contig035, whole genome shotgun sequence
NZ_QYBC01000016.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   149646   149707      +    no    1 0.73   0.0   24.1   2.9e+02 !   Lichenibacterium ramalinae strain RmlP001 NODE_22_length_158605_cov_9.73481, whole genome shotgun sequence
JABTUS010000004.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     4486     4539      +    no    1 0.65   0.0   24.1   2.9e+02 !   Opitutaceae bacterium isolate H5_VER3 seq004, whole genome shotgun sequence
NZ_CADFDB010000007.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   179752   179811      +    no    1 0.72   0.0   24.1   2.9e+02 !   Burkholderia metallica strain LMG 24068, whole genome shotgun sequence
NZ_VFOK01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  2429159  2429095      -    no    1 0.71   0.0   24.1   2.9e+02 !   Barrientosiimonas humi strain DSM 24617 Ga0264280_11, whole genome shotgun sequence
NZ_PCOV01000002.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   145446   145509      +    no    1 0.73   0.7   24.1   2.9e+02 !   Microbacterium sp. MYb66 MYb66_2, whole genome shotgun sequence
NZ_AEPI01000132.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     8649     8583      -    no    1 0.60   0.0   24.1   2.9e+02 !   Neisseria lactamica NS19 contig00132, whole genome shotgun sequence
DSDS01000174.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     8163     8195      +    no    1 0.70   0.0   24.1   2.9e+02 !   TPA_asm: Desulfurivibrio alkaliphilus isolate SpSt-1224 Ga0129302_1003325, whole genome shotgun sequence
NZ_AQQX01000003.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   171985   172023      +    no    1 0.79   0.0   24.1   2.9e+02 !   Pseudooceanicola atlanticus strain 22II-s11g contig3, whole genome shotgun sequence
WHSO01000022.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    14872    14922      +    no    1 0.69   0.0   24.1   2.9e+02 !   Alphaproteobacteria bacterium isolate Dino_bin8 k141_642364_length_45698_cov_22.9772, whole genome shotgun sequence
DSKR01000009.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    57283    57230      -    no    1 0.72   0.0   24.1   2.9e+02 !   TPA_asm: Gemmataceae bacterium isolate SpSt-251 Ga0101945_1000442, whole genome shotgun sequence
NZ_PQIA01000050.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    19744    19801      +    no    1 0.78   0.3   24.1   2.9e+02 !   Amycolatopsis circi strain DSM 45561 NODE_52, whole genome shotgun sequence
WGNN01000079.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     6417     6373      -    no    1 0.60   0.0   24.1   2.9e+02 !   Bacterium isolate RI_201 c_000000004681, whole genome shotgun sequence
CADEFI010000015.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    73897    73958      +    no    1 0.65   0.0   24.1   2.9e+02 !   uncultured Hyphomicrobium sp. isolate Hyphomicrobium sp. RBC040 genome assembly, contig: MAG040_15, whole genome shotgun sequence
RPRK01000019.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    42541    42580      +    no    1 0.82   0.2   24.1   2.9e+02 !   Burkholderiales bacterium isolate metabat2.802 metabat2.802_Contig_1062014, whole genome shotgun sequence
JABFWL010000268.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    18526    18587      +    no    1 0.82   7.2   24.1   2.9e+02 !   Catenulispora sp. isolate Bin1.32 NODE_341_length_32293_cov_7.704651, whole genome shotgun sequence
NZ_KB907784.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   894239   894190      -    no    1 0.72   0.0   24.1   2.9e+02 !   Bordetella sp. FB-8 H143DRAFT_scaffold00001.1, whole genome shotgun sequence
NZ_JABFMU010000007.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    32802    32859      +    no    1 0.66   0.0   24.1   2.9e+02 !   Pseudomonas sp. C2B4 NODE_7_length_164233_cov_37.379911, whole genome shotgun sequence
NZ_AUMS01000008.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   210725   210781      +    no    1 0.70   0.0   24.1   2.9e+02 !   Chitinilyticum aquatile DSM 21506 H559DRAFT_scaffold00006.6_C, whole genome shotgun sequence
JAFGPC010000092.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49      298      244      -    no    1 0.69   0.0   24.1   2.9e+02 !   Sedimentisphaerales bacterium isolate Zod_Metabat.67 k87_5858297, whole genome shotgun sequence
VGOZ01000087.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49      742      688      -    no    1 0.73   0.0   24.1   2.9e+02 !   Chloroflexi bacterium isolate K_Offshore_80m_m1_189 K_Offshore_80m_m1_189_Ga0194132_10009689, whole genome shotgun sequence
NZ_BAFP01000076.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    27133    27179      +    no    1 0.74   0.0   24.1   2.9e+02 !   Nocardia abscessus NBRC 100374, whole genome shotgun sequence
NZ_BNAR01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1221554  1221488      -    no    1 0.78   1.0   24.1   2.9e+02 !   Lentzea cavernae strain CGMCC 4.7367 sequence01, whole genome shotgun sequence
NZ_LZLB01000064.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   141002   141053      +    no    1 0.79   0.2   24.1   2.9e+02 !   Mycolicibacter heraklionensis strain 1245976.6 contig_67, whole genome shotgun sequence
NZ_UGJH01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  3800226  3800271      +    no    1 0.76   0.0   24.1   2.9e+02 !   Janthinobacterium lividum strain NCTC9796, whole genome shotgun sequence
NZ_LT629762.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  4081718  4081775      +    no    1 0.53   0.0   24.1   2.9e+02 !   Pseudomonas prosekii strain LMG 26867 chromosome I
NZ_LMKC01000002.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   585822   585866      +    no    1 0.76   0.0   24.1   2.9e+02 !   Sphingomonas sp. Leaf9 contig_2, whole genome shotgun sequence
NZ_JACHBR010000002.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   311873   311924      +    no    1 0.73   0.0   24.1   2.9e+02 !   Sphaerisporangium krabiense strain DSM 45790 Ga0104637_02, whole genome shotgun sequence
NZ_RAQQ01000012.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   187101   187162      +    no    1 0.79   1.8   24.1   2.9e+02 !   Micromonospora globbae strain WPS1-2 contig0012, whole genome shotgun sequence
NZ_LFJC01000003.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  7808344  7808407      +    no    1 0.73   0.0   24.1   2.9e+02 !   Bradyrhizobium nitroreducens strain TSA1 Contig01, whole genome shotgun sequence
DKJA01000186.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     9742     9800      +    no    1 0.68   0.0   24.1   2.9e+02 !   TPA_asm: Oxalobacteraceae bacterium UBA6704 UBA6704_contig_455, whole genome shotgun sequence
JAFAPJ010000255.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2848     2796      -    no    1 0.72   0.0   24.1   2.9e+02 !   MAG: Methylobacteriaceae bacterium isolate CP_BM_ER_35 BM_ER_k147_9050295, whole genome shotgun sequence
JACRCZ010000053.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    20666    20740      +    no    1 0.71   0.0   24.1   2.9e+02 !   Deltaproteobacteria bacterium isolate NC_groundwater_1659_Pr3_B-0.1um_72_20 SR-2_scaffold_141_1142554, whole genome shotgun sequence
NZ_JAHRCY010000015.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    92882    92831      -    no    1 0.73   0.0   24.1   2.9e+02 !   Catellatospora sp. NEAU-YM18 Scaffold15, whole genome shotgun sequence
NZ_LT607753.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  2288585  2288636      +    no    1 0.73   0.0   24.1   2.9e+02 !   Micromonospora coxensis strain DSM 45161 chromosome I
NZ_BOPB01000009.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   375423   375474      +    no    1 0.73   0.0   24.1   2.9e+02 !   Micromonospora lutea strain NBRC 106530 sequence09, whole genome shotgun sequence
NZMY01000050.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   259642   259586      -    no    1 0.70   0.0   24.1   2.9e+02 !   Croceicoccus sp. isolate EAC98 16975, whole genome shotgun sequence
NZ_JACYUY010000004.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    36669    36605      -    no    1 0.68   0.0   24.1   2.9e+02 !   Massilia sp. CFBP 13721 strain CFBP13721 CFBP1372104, whole genome shotgun sequence
NZ_NBZV01000083.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     5530     5478      -    no    1 0.64   0.0   24.1   2.9e+02 !   Polaromonas sp. AER18D-145 scaffold_82, whole genome shotgun sequence
NZ_JACCBN010000001.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  2796752  2796724      -    no    1 0.86   0.3   24.1   2.9e+02 !   Actinomycetospora corticicola strain DSM 45772 Ga0104635_01, whole genome shotgun sequence
NZ_VSZS01000067.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    73905    73954      +    no    1 0.72   0.0   24.1   2.9e+02 !   Mesorhizobium sp. MaA-C15 191, whole genome shotgun sequence
VBLM01000254.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     5703     5764      +    no    1 0.76   0.2   24.1   2.9e+02 !   Deltaproteobacteria bacterium isolate DP_35 14_0903_13_30cm_scaffold_2010931, whole genome shotgun sequence
MKTT01000119.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    92434    92483      +    no    1 0.76   0.0   24.1   2.9e+02 !   Planctomycetales bacterium 71-10 scnpilot_p_inoc_scaffold_587, whole genome shotgun sequence
NZ_UAVD01000029.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   472793   472752      -    no    1 0.76   0.0   24.1   2.9e+02 !   Streptomyces griseus strain NCTC13033, whole genome shotgun sequence
CP054864.1           -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   121346   121397      +    no    1 0.69   0.0   24.1   2.9e+02 !   Dechloromonas sp. isolate SSB2 chromosome
NZ_BDAG01000003.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    85370    85396      +    no    1 0.78   0.0   24.1   2.9e+02 !   Pseudomonas migulae NBRC 103157, whole genome shotgun sequence
NZ_VMSG01000006.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   156195   156221      +    no    1 0.78   0.0   24.1   2.9e+02 !   Pseudomonas sp. H3(2019) NODE_6_length_227672_cov_164.491826, whole genome shotgun sequence
NZ_MOBJ01000005.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   169573   169599      +    no    1 0.78   0.0   24.1   2.9e+02 !   Pseudomonas brassicacearum strain 48H11 48H11_contig_6, whole genome shotgun sequence
NZ_CABVIR010000007.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   142947   142973      +    no    1 0.78   0.0   24.1   2.9e+02 !   Pseudomonas fluorescens isolate PS858, whole genome shotgun sequence
NZ_VZPP01000010.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   163428   163402      -    no    1 0.78   0.0   24.1   2.9e+02 !   Pseudomonas moorei strain CCUG 53114 contig_0000010, whole genome shotgun sequence
NZ_CP038438.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   946015   946041      +    no    1 0.78   0.0   24.1   2.9e+02 !   Pseudomonas fluorescens strain LBUM677 chromosome, complete genome
NZ_AKJI01000008.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     8450     8424      -    no    1 0.78   0.0   24.1   2.9e+02 !   Pseudomonas sp. GM60 PMI32_contig12.12, whole genome shotgun sequence
NZ_WXVV01000004.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   130200   130174      -    no    1 0.78   0.0   24.1   2.9e+02 !   Pseudomonas sp. UCMA 17988 contig00004, whole genome shotgun sequence
NZ_LMGK01000021.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   140873   140899      +    no    1 0.78   0.0   24.1   2.9e+02 !   Pseudomonas sp. Root562 contig_4, whole genome shotgun sequence
NZ_FNRV01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  4395257  4395283      +    no    1 0.78   0.0   24.1   2.9e+02 !   Pseudomonas mohnii strain DSM 18327, whole genome shotgun sequence
NZ_UTHA01000050.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   127490   127464      -    no    1 0.78   0.0   24.1   2.9e+02 !   Pseudomonas viridiflava isolate p13.D5, whole genome shotgun sequence
NZ_CP029693.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  5082054  5082080      +    no    1 0.78   0.0   24.1   2.9e+02 !   Pseudomonas putida strain JBC17 chromosome, complete genome
NZ_MNAH01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   124579   124605      +    no    1 0.78   0.0   24.1   2.9e+02 !   Pseudomonas putida strain ASAD Contig_29, whole genome shotgun sequence
NZ_LWGM01000044.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2656     2708      +    no    1 0.60   0.0   24.1   2.9e+02 !   Isoptericola variabilis strain JZ7 J7A_S6.NODE_44, whole genome shotgun sequence
JABHGV010000037.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     9019     8959      -    no    1 0.66   0.0   24.1   2.9e+02 !   MAG: Rhodospirillaceae bacterium isolate SI037_bin24 k141_1395387, whole genome shotgun sequence
JADJUF010000037.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   948496   948452      -    no    1 0.80   0.7   24.1   2.9e+02 !   Myxococcales bacterium isolate Hirt_18-Q3-R61-65_BATAC.430 tig00316458-1139750-13726600, whole genome shotgun sequence
NZ_FNJL01000041.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    28838    28787      -    no    1 0.81   1.6   24.1   2.9e+02 !   Acidovorax cattleyae strain DSM 17101, whole genome shotgun sequence
NZ_SRKY01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   561136   561085      -    no    1 0.67   0.0   24.1   2.9e+02 !   Aliishimia ponticola strain MYP11 contig1, whole genome shotgun sequence
MEEX01000007.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   171062   171108      +    no    1 0.79   0.1   24.1   2.9e+02 !   Phenylobacterium sp. SCN 70-31 ABS78_C0007, whole genome shotgun sequence
