#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_JACHOS010000005.1 -         nhaA-I               RF03057    cm        1       55   205852   205908      +    no    1 0.75   0.2   58.5   1.5e-06 !   Methylorubrum rhodesianum strain DSM 5687 Ga0373205_05, whole genome shotgun sequence
NZ_JNXR01000016.1    -         nhaA-I               RF03057    cm        1       55   212938   212882      -    no    1 0.70   0.0   29.0        21 ?   Streptomyces durhamensis strain NRRL B-3309 contig16.1, whole genome shotgun sequence
NZ_RXOF01000001.1    -         nhaA-I               RF03057    cm        1       55   345048   345121      +    no    1 0.77   3.2   29.0        21 ?   Hymenobacter gummosus strain KCTC 52166 contig_1, whole genome shotgun sequence
NZ_AXAN01000045.1    -         nhaA-I               RF03057    cm        1       55    15346    15290      -    no    1 0.67   0.0   29.0        21 ?   Paraburkholderia mimosarum LMG 23256 = NBRC 106338 strain LMG 23256 A19UDRAFT_scaffold_43.44_C, whole genome shotgun sequence
NZ_BDAY01000013.1    -         nhaA-I               RF03057    cm        1       55     9655     9703      +    no    1 0.76   0.1   29.0        22 ?   Nocardia altamirensis NBRC 108246, whole genome shotgun sequence
NZ_CP014841.1        -         nhaA-I               RF03057    cm        1       55  3621532  3621587      +    no    1 0.79   0.3   28.9        22 ?   Dyella thiooxydans strain ATSB10 chromosome, complete genome
NZ_FNAX01000001.1    -         nhaA-I               RF03057    cm        1       55   565052   565116      +    no    1 0.75   0.4   28.9        22 ?   Streptomyces jietaisiensis strain CGMCC 4.1859, whole genome shotgun sequence
NZ_BMPI01000015.1    -         nhaA-I               RF03057    cm        1       55    57301    57354      +    no    1 0.76   0.2   28.9        22 ?   Dactylosporangium sucinum strain JCM 19831 sequence015, whole genome shotgun sequence
NZ_FOMQ01000002.1    -         nhaA-I               RF03057    cm        1       55   212323   212272      -    no    1 0.79   0.2   28.8        23 ?   Acidovorax konjaci strain DSM 7481, whole genome shotgun sequence
NZ_JADDKQ010000014.1 -         nhaA-I               RF03057    cm        1       55    35076    35029      -    no    1 0.83   2.6   28.8        23 ?   Actinotalea solisilvae strain KACC 19191 Scaffold7_2, whole genome shotgun sequence
NC_016111.1          -         nhaA-I               RF03057    cm        1       55   851178   851115      -    no    1 0.77   0.6   28.8        23 ?   Streptomyces cattleya NRRL 8057 = DSM 46488, complete sequence
NZ_LQPZ01000006.1    -         nhaA-I               RF03057    cm        1       55    56830    56896      +    no    1 0.72   0.0   28.8        23 ?   Mycolicibacillus trivialis strain DSM 44153 contig_14, whole genome shotgun sequence
NZ_BMPI01000021.1    -         nhaA-I               RF03057    cm        1       55   159587   159641      +    no    1 0.76   0.1   28.8        23 ?   Dactylosporangium sucinum strain JCM 19831 sequence021, whole genome shotgun sequence
NZ_JAFMPK010000028.1 -         nhaA-I               RF03057    cm        1       55    30603    30530      -    no    1 0.69   0.0   28.8        24 ?   Myceligenerans salitolerans strain XHU 5031 246, whole genome shotgun sequence
NZ_CP058322.1        -         nhaA-I               RF03057    cm        1       55  4666717  4666775      +    no    1 0.69   0.0   28.8        24 ?   Micromonospora carbonacea strain aurantiaca chromosome, complete genome
NZ_KB907213.1        -         nhaA-I               RF03057    cm        1       55   211017   210961      -    no    1 0.74   0.1   28.7        24 ?   Actinomadura atramentaria DSM 43919 strain SF2197 G339DRAFT_scaffold00006.6, whole genome shotgun sequence
NZ_LT607411.1        -         nhaA-I               RF03057    cm        1       55  1284070  1284120      +    no    1 0.75   0.0   28.7        24 ?   Micromonospora viridifaciens strain DSM 43909 chromosome I
NZ_PREV01000027.1    -         nhaA-I               RF03057    cm        1       55  1342833  1342773      -    no    1 0.66   0.0   28.7        25 ?   Microbulbifer pacificus strain LD25 Scaffold27, whole genome shotgun sequence
NZ_PGTB01000026.1    -         nhaA-I               RF03057    cm        1       55    30087    30036      -    no    1 0.75   0.0   28.7        25 ?   Pseudooceanicola lipolyticus strain 157 157_26_39463_cov_111.085, whole genome shotgun sequence
NZ_CYSE01000005.1    -         nhaA-I               RF03057    cm        1       55   243486   243535      +    no    1 0.72   0.0   28.7        25 ?   Tropicibacter naphthalenivorans strain CECT 7648, whole genome shotgun sequence
NZ_BMMM01000012.1    -         nhaA-I               RF03057    cm        1       55   141734   141781      +    no    1 0.77   0.6   28.7        25 ?   Streptomyces albiflavescens strain CGMCC 4.7111 sequence12, whole genome shotgun sequence
NZ_KB913024.1        -         nhaA-I               RF03057    cm        1       55  2861877  2861803      -    no    1 0.75   0.5   28.7        25 ?   Actinopolyspora mortivallis DSM 44261 strain HS-1 ActmoDRAFT_scaffold1.1, whole genome shotgun sequence
NZ_QDKO01000021.1    -         nhaA-I               RF03057    cm        1       55   131081   131132      +    no    1 0.71   0.0   28.7        25 ?   Caulobacter radicis strain 695 NODE_11_length_183765_cov_56.0589, whole genome shotgun sequence
NZ_JADQDF010000001.1 -         nhaA-I               RF03057    cm        1       55  3635722  3635782      +    no    1 0.84   7.5   28.6        26 ?   Pseudonocardia oceani strain KRD185 1, whole genome shotgun sequence
NZ_JAAALO010000004.1 -         nhaA-I               RF03057    cm        1       55   699390   699356      -    no    1 0.77   0.0   28.6        26 ?   Micromonospora rubida strain NEAU-HG-1 Scaffold4, whole genome shotgun sequence
NZ_BCSU01000002.1    -         nhaA-I               RF03057    cm        1       55   131849   131898      +    no    1 0.74   0.1   28.6        26 ?   Corynebacterium humireducens NBRC 106098 = DSM 45392 strain NBRC 106098, whole genome shotgun sequence
NZ_SMMH01000032.1    -         nhaA-I               RF03057    cm        1       55    24817    24875      +    no    1 0.68   0.0   28.6        26 ?   Deinococcus fonticola strain FeSDHB5-19 NODE_32_length_40826_cov_41.244257, whole genome shotgun sequence
NZ_FMCX01000003.1    -         nhaA-I               RF03057    cm        1       55   381652   381602      -    no    1 0.80   1.1   28.6        26 ?   Micromonospora mirobrigensis strain DSM 44830, whole genome shotgun sequence
NC_008825.1          -         nhaA-I               RF03057    cm        1       55  2724132  2724183      +    no    1 0.71   0.0   28.6        26 ?   Methylibium petroleiphilum PM1, complete sequence
NZ_CP061913.1        -         nhaA-I               RF03057    cm        1       55  7459771  7459724      -    no    1 0.79   0.2   28.6        26 ?   Dactylosporangium vinaceum strain NRRL B-16297 chromosome, complete genome
NZ_BJYY01000007.1    -         nhaA-I               RF03057    cm        1       55    12290    12343      +    no    1 0.76   0.1   28.6        27 ?   Cellulomonas aerilata strain NBRC 106308 sequence07, whole genome shotgun sequence
NZ_CAJHCP010000003.1 -         nhaA-I               RF03057    cm        1       55   112940   112885      -    no    1 0.79   0.7   28.6        27 ?   Paraburkholderia metrosideri strain LMG 28140 isolate LMG 28140, whole genome shotgun sequence
NZ_JACIBU010000001.1 -         nhaA-I               RF03057    cm        1       55   356498   356448      -    no    1 0.73   0.0   28.5        27 ?   Modestobacter versicolor strain DSM 16678 Ga0197468_01, whole genome shotgun sequence
NZ_JADOUA010000001.1 -         nhaA-I               RF03057    cm        1       55  5600044  5600100      +    no    1 0.77   0.4   28.5        27 ?   Actinomadura viridis strain DSM 43175 Ga0310409_01, whole genome shotgun sequence
NZ_BBXE01000034.1    -         nhaA-I               RF03057    cm        1       55     9678     9620      -    no    1 0.71   0.0   28.5        27 ?   Herbidospora yilanensis strain NBRC 106371, whole genome shotgun sequence
NZ_CP022295.1        -         nhaA-I               RF03057    cm        1       55  2785533  2785490      -    no    1 0.75   0.6   28.5        27 ?   Nocardioides aromaticivorans strain IC177 chromosome, complete genome
NZ_OBDO01000008.1    -         nhaA-I               RF03057    cm        1       55   107136   107087      -    no    1 0.74   0.0   28.5        28 ?   Geodermatophilus sabuli strain DSM 46844, whole genome shotgun sequence
NZ_JACHOW010000005.1 -         nhaA-I               RF03057    cm        1       55   151827   151762      -    no    1 0.77   1.4   28.5        28 ?   Longimicrobium terrae strain CECT 8660 Ga0372432_05, whole genome shotgun sequence
NZ_QEOM01000006.1    -         nhaA-I               RF03057    cm        1       55    99470    99528      +    no    1 0.78   0.5   28.4        29 ?   Williamsia marianensis strain DSM 44944 Ga0215645_106, whole genome shotgun sequence
NZ_VIWT01000003.1    -         nhaA-I               RF03057    cm        1       55   319130   319168      +    no    1 0.79   0.1   28.4        29 ?   Kitasatospora viridis strain DSM 44826 Ga0264275_13, whole genome shotgun sequence
NZ_FZOR01000021.1    -         nhaA-I               RF03057    cm        1       55   120700   120651      -    no    1 0.78   0.5   28.4        30 ?   Actinomadura meyerae strain DSM 44715, whole genome shotgun sequence
NZ_UATA01000001.1    -         nhaA-I               RF03057    cm        1       55   464926   464870      -    no    1 0.81   1.9   28.4        30 ?   Mycobacterium xenopi strain NCTC10042, whole genome shotgun sequence
NZ_JAHKKG010000007.1 -         nhaA-I               RF03057    cm        1       55   499560   499593      +    no    1 0.79   0.0   28.4        30 ?   Actinoplanes bogorensis strain NBRC 110975 NODE_7_length_647360_cov_31.773924, whole genome shotgun sequence
NZ_QKYN01000072.1    -         nhaA-I               RF03057    cm        1       55    58202    58142      -    no    1 0.70   0.0   28.4        30 ?   Streptacidiphilus pinicola strain MMS16-CNU450 M1_S2_L001_R1_001__paired__contig_80, whole genome shotgun sequence
NZ_BONX01000052.1    -         nhaA-I               RF03057    cm        1       55    75532    75589      +    no    1 0.81   2.5   28.4        30 ?   Plantactinospora mayteni strain NBRC 109088 sequence052, whole genome shotgun sequence
NZ_CP072646.1        -         nhaA-I               RF03057    cm        1       55  1526692  1526627      -    no    1 0.68   0.0   28.3        30 ?   Chloracidobacterium sp. MS 40/45 chromosome 1, complete sequence
NZ_LRQV01000197.1    -         nhaA-I               RF03057    cm        1       55     6035     6104      +    no    1 0.74   1.7   28.3        30 ?   Micromonospora rosaria strain DSM 803 contig197, whole genome shotgun sequence
NZ_PDWR01000006.1    -         nhaA-I               RF03057    cm        1       55     7932     7990      +    no    1 0.73   0.0   28.3        31 ?   Pseudoxanthomonas sangjuensis strain DSM 28345 NODE_6_length_147622_cov_18.7195, whole genome shotgun sequence
NZ_QQAU01000010.1    -         nhaA-I               RF03057    cm        1       55   151537   151592      +    no    1 0.79   0.7   28.3        31 ?   Lentzea flaviverrucosa strain DSM 44664 Ga0244493_110, whole genome shotgun sequence
NZ_BMNC01000013.1    -         nhaA-I               RF03057    cm        1       55   122785   122730      -    no    1 0.79   0.7   28.3        31 ?   Lentzea pudingi strain CGMCC 4.7319 sequence13, whole genome shotgun sequence
NZ_WYCT01000067.1    -         nhaA-I               RF03057    cm        1       55     6251     6303      +    no    1 0.77   0.2   28.3        31 ?   Streptomyces harenosi strain PRKS01-65 NODE_67_length_27347_cov_65.4752, whole genome shotgun sequence
NZ_CP080998.1        -         nhaA-I               RF03057    cm        1       55  1145018  1145082      +    no    1 0.71   0.1   28.3        31 ?   Mycobacterium holsaticum strain JCM 12374 chromosome, complete genome
NZ_JAGPYQ010000002.1 -         nhaA-I               RF03057    cm        1       55  1507010  1506955      -    no    1 0.80   1.1   28.3        31 ?   Streptomyces sp. BH-SS-21 Contig00002, whole genome shotgun sequence
NZ_AP022870.1        -         nhaA-I               RF03057    cm        1       55  7489675  7489742      +    no    1 0.71   0.0   28.3        31 ?   Phytohabitans flavus strain NBRC 107702 chromosome
NZ_JACHGN010000002.1 -         nhaA-I               RF03057    cm        1       55   254265   254203      -    no    1 0.71   0.0   28.2        32 ?   Thermocatellispora tengchongensis strain DSM 45615 Ga0415383_02, whole genome shotgun sequence
NZ_CP017561.2        -         nhaA-I               RF03057    cm        1       55  2518740  2518805      +    no    1 0.71   0.0   28.2        33 ?   Paraburkholderia sprentiae WSM5005 chromosome 1, complete sequence
NZ_SDPT01000002.1    -         nhaA-I               RF03057    cm        1       55   294735   294802      +    no    1 0.71   0.1   28.2        33 ?   Sphingomonas desiccabilis strain CP1D NODE_2_length_1156372_cov_67.323254, whole genome shotgun sequence
NZ_JQKD01000015.1    -         nhaA-I               RF03057    cm        1       55    55936    55877      -    no    1 0.73   0.0   28.2        33 ?   Xenophilus azovorans DSM 13620 Q392DRAFT_scaffold00012.12_C, whole genome shotgun sequence
NZ_WKJJ01000009.1    -         nhaA-I               RF03057    cm        1       55   326965   327024      +    no    1 0.70   0.0   28.2        33 ?   Massilia rivuli strain FT92W NODE_9_length_338064_cov_22.111864_9, whole genome shotgun sequence
NZ_KB905933.1        -         nhaA-I               RF03057    cm        1       55   165039   164989      -    no    1 0.75   0.1   28.2        33 ?   Caldimonas manganoxidans ATCC BAA-369 F615DRAFT_scaffold00005.5, whole genome shotgun sequence
NZ_JAELXW010000001.1 -         nhaA-I               RF03057    cm        1       55   206076   206133      +    no    1 0.79   1.1   28.2        33 ?   Glycomyces salinus strain YIM 93776 contig1, whole genome shotgun sequence
